teks,label
Salah satu perlindungan dari kekecewaan adalah memiliki banyak kesibukan.,6
 Hidup adalah sebuah persiapan panjang untuk sesuatu yang tidak akan pernah terjadi.,6
"Orang menangis bukan karena mereka lemah. Tapi, mereka menangis karena telah berusaha kuat dalam waktu yang lama.",6
" Daripada mengkhawatirkan hal yang tak bisa kau kontrol, alihkan energimu untuk sesuatu yang bisa kau ciptakan.",6
"Sakit sekali rasanya ketika Anda sudah melakukan yang terbaik, tapi ternyata masih tidak cukup",6
"Setiap kali orang bertanya padaku apakah aku baik-baik saja, hal ini semakin mengingatkan bahwa aku tidak baik-baik saja.",6
"Bagiku, tidur bukanlah sekadar melepas lelah, melainkan sebuah pelarian",6
Aku tidak tahu apakah tempatku benar-benar di sini. Aku tidak punya seorangpun untuk diajak bicara,6
"Hidup itu seperti mengendarai sebuah sepeda. Untuk menjaga keseimbangan, kamu harus terus bergerak",6
Kegagalan akan mengalahkan pecundang. Kegagalan akan menginspirasi pemenang,6
"Ia yang mengerjakan lebih dari apa yang dibayar pada suatu saat akan dibayar lebih dari apa yang ia kerjakan""",6
"Pertama, berpikirlah. Yang kedua, percayalah. Yang ketiga, mimpikan lah. Lalu yang terakhir, tantang lah",6
"Jika kamu bisa memimpikannya, kamu bisa melakukannya",6
"Keyakinan, keberanian, dan semangat yang teguh sangat penting untuk bertahan dari masa-masa sulit.",6
Masalah adalah kesempatan bagi Anda untuk melakukan yang terbaik.,6
"""Jangan biarkan kepalamu tertunduk. Jangan pernah menyerah dan bersedih hati. Temukan cara lain. Dan jangan berdoa saat hujan jika kamu tidak berdoa saat matahari bersinar. ",6
"""Hanya di saat-saat tergelap, kita mungkin menemukan kekuatan sejati dari cahaya cemerlang di dalam diri kita yang tidak akan pernah bisa diredupkan",6
Pelajari bagaimana menjadi bahagia dengan apa yang kamu miliki sehingga kamu bisa mengejar semua yang diinginkan,6
"Selain mencoba dan menang, hal terbaik adalah mencoba dan gagal.",6
Terimalah kesulitan sebagai disiplin yang diperlukan.,6
"Kemuliaan terbesar dalam hidup tidak terletak pada tidak pernah gagal, tetapi dalam bangkit setiap kali kita gagal",6
"Setiap kesulitan, setiap kegagalan dan setiap sakit hati membawa serta benih manfaat yang setara atau lebih besar.""",6
"Masalah bukanlah tanda berhenti, itu adalah pedoman",6
"""Kita harus merangkul rasa sakit dan membakarnya sebagai bahan bakar untuk perjalanan kita.",6
"Hambatan tidak harus menghentikanmu. Jika kamu menabrak tembok, jangan berbalik dan menyerah. Cari tahu cara memanjat, melewatinya, atau mengatasinya.",6
"Gunakan apa yang telah kamu alami sebagai bahan bakar, percayalah pada dirimu sendiri dan jadilah yang tak terhentikan",6
"Makin besar kesulitannya, makin mulia dalam mengatasinya. Pilot yang terampil mendapatkan reputasi dari badai dan prahara",6
"Meski dunia ini penuh dengan penderitaan, ia juga penuh dengan cara mengatasinya.",6
"Tidak peduli seberapa lambat kamu melangkah, selama kamu tidak berhenti",6
"Hidup itu sangat menarik. Pada akhirnya, beberapa penderitaan terbesarmu menjadi kekuatan terbesarmu.",6
"jatuh tujuh kali, berdiri delapan kali",6
"""Keberanian tidak selalu mengaum. Terkadang keberanian adalah suara pelan di pengujung hari yang mengatakan 'saya akan mencoba lagi besok",6
Kegagalan tidak akan pernah menimpa saya jika tekad saya untuk sukses cukup kuat.,6
"""Tidak ada yang lebih indah dari senyuman yang berjuang dari air mata",6
"Masa-masa sulit terkadang merupakan berkah terselubung. Kita memang harus menderita, tetapi pada akhirnya itu membuat kita kuat, lebih baik, dan bijaksana",6
Kelemahan terbesar kita terletak pada menyerah. Cara paling pasti untuk sukses adalah selalu mencoba sekali lagi,6
Bersabarlah dan tangguh; suatu hari nanti rasa sakit ini akan berguna untukmu,6
"Hanya mereka yang berani gagal, yang bisa mencapai sukses besar",6
Masa-masa sulit telah membantu saya untuk memahami lebih baik dari sebelumnya. Saya menyadari betapa kaya dan indahnya kehidupan dalam segala hal. Dan apa yang dikhawatirkan orang tidak penting sama sekali,6
"Kita harus menerima kekecewaan yang terbatas. Tetapi, jangan pernah kehilangan harapan yang tidak terbatas.",6
"Hidup bukan tentang menunggu badai berlalu, ini tentang belajar menari di tengah hujan.",6
"Tantangan adalah hal yang membuat hidup menarik dan mengatasinya itulah yang membuat hidup bermakna.""",6
Jangan terlalu khawatir dengan apa yang akan terjadi. Segala sesuatu yang terjadi akan baik dan bermanfaat untukmu,6
Hidup adalah badai yang akan mengujimu tanpa henti. Jangan menunggu air tenang yang mungkin tidak datang. Dapatkan tujuan dari ketahanan. Belajar mengarungi lautan yang mengamuk.,6
"Saat sulit, bersandarlah dan tetap kuat. Ingat, itu menjadi lebih baik. Ini untukmu, bukan melawanmu",6
Saya suka menjadikan masa-masa sulit di masa lalu untuk memotivasi saya hari ini.,6
Masa-masa sulit membangun tekad dan kekuatan batin. Melalui mereka kita juga bisa menghargai ketidakgunaan amarah,6
"Masa-masa sulit menimpa semua orang. Apa pun itu, kita akan keluar darinya",6
"Ada saat-saat indah, ada masa-masa sulit, tetapi tidak pernah ada saat-saat buruk",6
Jangan pernah meninggalkan hidup karena kesulitan. Ada jalan keluar dari segalanya kecuali kematian,6
Masa-masa kelam bukanlah waktu tanpa harapan.,6
Hanya rasa sakit yang bisa membuatmu berubah,6
"Masa-masa sulit selalu mengarah pada sesuatu yang hebat.""",6
Kemampuanmu untuk menggunakan prinsip dan saran akan sangat bergantung pada kemampuan untuk berkonsentrasi pada sebuah keinginan yang tulus sampai keinginan itu menjadi sebuah obsesi penyemangat.,6
Hidup memang tak semudah kalimat-kalimat bijak. Tapi lebih bijaksana menjadikan kalimat itu sebagai penyemangat dari pada terus mengutuki dan tak berbenah apa-apa.,6
Alam selalu memakai warna-warna penyemangat,6
"Jangan suka meremehkan kelemahan orang lain. Sebab jika kata remeh Anda itu menjadi kendaraan motivasi baginya, Anda akan ditabrak oleh perkataan Anda sendiri.",6
